from_year,to_year,community_a,community_b,jaccard,intersection,union,size_a,matched_size_b
1990,1995,0,0,1.0,3,3,3,3
1990,1995,1,1,0.7227722772277227,73,101,99,75
1990,1995,2,5,0.5694444444444444,41,72,68,45
1990,1995,3,3,1.0,18,18,18,18
1990,1995,4,4,0.9090909090909091,20,22,20,22
1990,1995,6,7,0.6842105263157895,13,19,17,15
1990,1995,5,6,0.4090909090909091,9,22,9,22
1995,2000,0,2,1.0,3,3,3,3
1995,2000,1,7,0.5316455696202531,42,79,75,46
1995,2000,2,9,0.8529411764705882,29,34,34,29
1995,2000,3,3,1.0,18,18,18,18
1995,2000,4,4,0.875,21,24,22,23
1995,2000,5,5,0.9130434782608695,42,46,45,43
1995,2000,6,1,0.5909090909090909,13,22,22,13
1995,2000,7,0,1.0,15,15,15,15
2000,2005,2,0,0.6666666666666666,2,3,3,2
2000,2005,6,1,0.7272727272727273,32,44,42,34
2000,2005,9,5,0.7647058823529411,26,34,29,31
2000,2005,3,3,0.9444444444444444,17,18,18,17
2000,2005,4,4,0.92,23,25,23,25
2000,2005,5,7,0.8723404255319149,41,47,43,45
2000,2005,7,8,0.8936170212765957,42,47,46,43
2000,2005,8,2,1.0,2,2,2,2
2000,2005,0,6,0.9333333333333333,14,15,15,14
2000,2005,1,9,0.5454545454545454,12,22,13,21
2005,2010,0,0,1.0,2,2,2,2
2005,2010,1,1,0.36363636363636365,24,66,34,56
2005,2010,5,1,0.5,29,58,31,56
2005,2010,3,2,1.0,17,17,17,17
2005,2010,4,3,0.696969696969697,23,33,25,31
2005,2010,7,7,0.6721311475409836,41,61,45,57
2005,2010,8,5,0.8113207547169812,43,53,43,53
2005,2010,2,6,1.0,2,2,2,2
2005,2010,9,8,0.6666666666666666,14,21,21,14
2005,2010,6,7,0.24561403508771928,14,57,14,57
2010,2015,0,0,1.0,2,2,2,2
2010,2015,1,1,0.7910447761194029,53,67,56,64
2010,2015,2,3,0.9411764705882353,16,17,17,16
2010,2015,3,9,0.8387096774193549,26,31,31,26
2010,2015,7,2,0.7241379310344828,42,58,57,43
2010,2015,5,7,1.0,53,53,53,53
2010,2015,6,8,1.0,2,2,2,2
2010,2015,8,5,0.17857142857142858,5,28,14,19
2010,2015,4,6,1.0,2,2,2,2
2015,2020,0,0,1.0,2,2,2,2
2015,2020,1,1,0.26582278481012656,21,79,64,36
2015,2020,3,3,0.8421052631578947,16,19,16,19
2015,2020,9,4,0.8928571428571429,25,28,26,27
2015,2020,2,5,0.5370370370370371,29,54,43,40
2015,2020,7,7,0.5402298850574713,47,87,53,81
2015,2020,8,6,0.16666666666666666,2,12,2,12
2015,2020,5,2,0.2413793103448276,7,29,19,17
2015,2020,4,1,0.19444444444444445,7,36,7,36
2015,2020,6,4,0.07407407407407407,2,27,2,27
2020,2024,0,0,1.0,2,2,2,2
2020,2024,7,5,0.5903614457831325,49,83,81,51
2020,2024,1,2,0.34210526315789475,26,76,36,66
2020,2024,3,2,0.25,17,68,19,66
2020,2024,4,1,0.4418604651162791,19,43,27,35
2020,2024,5,3,0.7380952380952381,31,42,40,33
2020,2024,6,4,1.0,12,12,12,12
2020,2024,2,6,0.5925925925925926,16,27,17,26
