origin,destination,migrants
Mexico,United States of America*,11279561.0
Afghanistan,Iran (Islamic Republic of),3752317.0
Syrian Arab Republic,Türkiye,3563983.0
Others,United States of America*,3519423.0
Russian Federation,Ukraine*,3375095.0
India,United Arab Emirates,3248545.0
India,United States of America*,3165238.0
Others,Germany,3137259.0
Others,United Kingdom*,3115082.0
Venezuela (Bolivarian Republic of),Colombia,2904873.0
Ukraine*,Russian Federation,2872612.0
China,"China, Hong Kong SAR",2490414.0
China,United States of America*,2488775.0
State of Palestine,Jordan,2379525.0
Bangladesh,Saudi Arabia,2362680.0
Bangladesh,India,2293959.0
Philippines,United States of America*,2263697.0
Yemen,Saudi Arabia,1999619.0
India,Saudi Arabia,1953496.0
Pakistan,Saudi Arabia,1937044.0
