model,feature,coefficient,abs_coefficient
ridge,pair_prev_count,1.686237083353993,1.686237083353993
ridge,year_index,-1.3802833151962137,1.3802833151962137
ridge,destination_prev_total,0.6805236684676927,0.6805236684676927
ridge,destination_prev_count,-0.5357177433433429,0.5357177433433429
ridge,origin_prev_count,0.3271601316804588,0.3271601316804588
ridge,pair_prev_total,0.22692538716457794,0.22692538716457794
ridge,orig_code,0.20029483452740385,0.20029483452740385
ridge,code_gap,0.16411951573749994,0.16411951573749994
ridge,origin_prev_total,0.045276539214125944,0.045276539214125944
ridge,dest_code,-0.0019336244371049207,0.0019336244371049207
